komentar,clean_text
"Bentuk dan ukuran: Bentuk tidak sesuai yang di iklan waktu order,dan ukurannya kekecilan padahal sudah ambil no paling besar 43",bentuk dan ukur bentuk tidak sesuai yang di iklan waktu orderdan ukur kecil padahal sudah ambil no paling besar
"Maaf terlambat berikan ulasan, karna baru plg dr luar kota. Sepatunya warna cocok sama di iklan, tp sol nya sangat keras, ngk bisa dipakai untuk olah raga..",maaf lambat ikan ulas karna baru plg dr luar kota sepatu warna cocok sama di iklan tp sol nya sangat keras ngk bisa pakai untuk olah raga
"Barang sudah sampai cepat sekali sehari sampai, terimakasih buat kurirnya juga",barang sudah sampai cepat sekali hari sampai terimakasih buat kurir juga
"Bentuk dan ukuran: Pas Aroma: Seperti aroma sepatu baru Daya tahan pakai: Baru mau dicoba, semoga awet",bentuk dan ukur pas aroma seperti aroma sepatu baru daya tahan pakai baru mau coba moga awet
Barang kw jelek kain robek pokoknya jelek parah sepatu kw kemasan g aman jahitan g bener tali s patunya lain pokoknya g rekomend sih beli sepatu disini hancur(jelek) parah barangnya,barang kw jelek kain robek pokok jelek parah sepatu kw kemas g aman jahit g bener tali s patunya lain pokok g rekomend sih beli sepatu sini hancurjelek parah barang
Alhamdulillah packet saya suda sampai toko ny smbgat amana saya puas sekali sama produk ny trimaran kasi,alhamdulillah packet saya suda sampai toko ny smbgat amana saya puas sekali sama produk ny trimaran kasi
Warna: Sudah cocok sesuai yg di pesanan Bentuk dan ukuran: Kurang lebar jdi kaki susah buat masuk,warna sudah cocok sesuai yang di pesan bentuk dan ukur kurang lebar jdi kaki susah buat masuk
Lumayan sesuai harga dan kurir yang mengantarnya baik dan ramah sukses selalu buat para kurir J&T terimakasih,lumayan sesuai harga dan kurir yang antar baik dan ramah sukses selalu buat para kurir jt terimakasih
"Hargax murah tapi kualitasx gk murahan,bgus bgt..next order lagi,mkasih seller dan abang kurir🙏",hargax murah tapi kualitasx tidak murahanbgus bgtnext order lagimkasih seller dan abang kurir
Bentuk dan ukuran: Bagus,bentuk dan ukur bagus
Paket sudah sampe trimksh bnyk buat toko nya sangat amanah bisa buat Langanan klo toko nya sudah amanah 👍👍👍👍👍,paket sudah sampe trimksh bnyk buat toko nya sangat amanah bisa buat langanan klo toko nya sudah amanah
"dtng barang cepat,kliatan ny bagus tp kwalitas kurang bagus d pake ny kaku",dtng barang cepatkliatan ny bagus tp kwalitas kurang bagus d pake ny kaku
"Alhamdulillah paket dah nyampe,tpi kenapa sepatunya tali nya g ada🥹🥹🙏🙏🙏",alhamdulillah paket dah nyampetpi kenapa sepatu tali nya g ada
Sesuai pas dan nyaman di kaki,sesuai pas dan nyaman di kaki
"Barangnya bagus cuma sangka saya sampingnya itu lembut ternyata keras, tpi bgus juga, syukron barangnya nyampai dgn selamat dan Aman",barang bagus cuma sangka saya samping itu lembut nyata keras tpi bgus juga syukron barang nyampai dgn selamat dan aman
Sepatunya bagus tidak ada cacatnya,sepatu bagus tidak ada cacat
Allham ndulillah barang datang tepat waktu n juga barang bagus sdh 2× ini saya pasan masih nunggu paket datang lagi besok yng ke 3-4 trimakasih tiktok tdk mengecewakan pokoknya jooooos mantep,allham ndulillah barang datang tepat waktu n juga barang bagus sdh ini saya pas masih nunggu paket datang lagi besok yng ke trimakasih tiktok tidak kecewa pokok jooooos mantep
"sepatunya kayak batu, catnya kayak cat tembok🤣",sepatu kayak batu cat kayak cat tembok
Saya pesan ukuran 40 yg dtg ukuran 43,saya pesan ukur yang dtg ukur
Ok pesanan sesuai mantap no tipu-tipu 👍👍👍👍👍,ok pesan sesuai mantap no tiputipu
Barang dah sampai keadaan bungkus dah robek Daya tahan pakai: Baru keadaan lem dah ngelupas produk jelek.,barang dah sampai ada bungkus dah robek daya tahan pakai baru ada lem dah ngelupas produk jelek
Tapaknya keras bukan karet kurang lentur,tapak keras bukan karet kurang lentur
Barang ny sesuai gambar tapi bahan ny agak keras gitu sesuai lah dengan harga segitu,barang ny sesuai gambar tapi bahan ny agak keras gitu sesuai lah dengan harga segitu
"Bahan tidak bagus Sangat kecewa,tidak sesuai dengan yg di pajang",bahan tidak bagus sangat kecewatidak sesuai dengan yang di pajang
"Paket sudah tiba dengan aman, sesuai dengan pesanan",paket sudah tiba dengan aman sesuai dengan pesan
Ini bukan cuci gudang ini penipuan barang enggak sama dengan di FHOTO dan iklan sepatunya kerak Sekai pakai pasti jebol mana tapak keras,ini bukan cuci gudang ini tipu barang enggak sama dengan di fhoto dan iklan sepatu kerak seka pakai pasti jebol mana tapak keras
"Bagian depan kekecilan, kaki terasa di himpit 😵‍💫 Yg lainnya sesuai harga",bagi depan kecil kaki asa di himpit yang lain sesuai harga
"Barang lmayan sesuai harga cuma agak keras d injaknya, kurir ok",barang lmayan sesuai harga cuma agak keras d injak kurir ok
Ukuran 39 kebesaran Lemnya sudah nglokor Bahan nya sudah ada yg sobek,ukur besar lem sudah nglokor bahan nya sudah ada yang sobek
No ukurannya bukan asli cuma tempelan akhirnya kekecilan kagak muat... Biasanya/ lazimnya klw ukuran yg asli ada di telapak ( bagian bawah nya )🙏 Biasany sepatu sy no 40 pas banget,no ukur bukan asli cuma tempel akhir kecil kagak muat biasa lazim klw ukur yang asli ada di telapak bagi bawah nya biasany sepatu sy no pas banget
Mantap barang sesui pengiriman cpt puas pokoknya,mantap barang sesui kirim cpt puas pokok
barang bagus sesuai ekpetasi..saya puas. cuma ini no 42 kecil.,barang bagus sesuai ekpetasisaya puas cuma ini no kecil
Barang ny sama sperti yg di pesan. Allhamdulilah. Tidak mngecewa kn barang ny,barang ny sama sperti yang di pesan allhamdulilah tidak mngecewa kn barang ny
"Cuman sekali pake aja udh jebol.. Gmn mau awet, dg harha segitu mh lumayan dahh",cuman sekali pake aja udh jebol gmn mau awet dg harha segitu mh lumayan dahh
"Alhamdulillah barang sudah sampai dengan aman dan cepat sesuai deskripsi... Bagus, mantap 👍👍 Terimakasih 🙏",alhamdulillah barang sudah sampai dengan aman dan cepat sesuai deskripsi bagus mantap terimakasih
